ID_Item,Scenario,Country,Energy,Sector,Sub_Sector,Usage,Source,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Heat Demand,CS1,FI,na,RES,na,space heating,Eurostat,TWh,32.85102925,32.63170331,32.40799664,32.17462342,31.92962656,31.67530863,31.40844225,31.13573988,30.86041048,30.58318977,30.30278105,30.02113426,29.73952995,29.44852693,29.14982159,28.84286551,28.52795097,28.21025572,27.88796268,27.5620124,27.23290275,26.90240019,26.55652344,26.19507217,25.81779245,25.42479915,25.01631933,24.60509663,24.19226703,23.77693954,23.35832345
Heat Demand,CS1,FR,na,RES,na,space heating,Eurostat,TWh,246.2174442,244.9457314,243.6523187,242.311792,240.918882,239.4793698,237.9759042,236.4599994,234.9586731,233.4815975,232.0156485,230.5579891,229.1149198,227.6324674,226.1124505,224.5473014,222.9215635,221.2698853,219.570372,217.8172268,216.0086937,214.1521091,212.137997,209.9667553,207.6368672,205.1468951,202.4961746,199.7884209,197.0271255,194.2152042,191.3550988
Heat Demand,CS1,GB,na,RES,na,space heating,Eurostat,TWh,249.6909683,248.4623304,247.2081671,245.8924073,244.5082217,243.0515017,241.5045763,239.9106922,238.297483,236.664018,235.0078196,233.3414935,231.6700305,229.9410783,228.1572525,226.3185596,224.4133393,222.4800549,220.5038353,218.4898518,216.4395126,214.3535617,212.1215511,209.7424564,207.2122992,204.5266636,201.6815368,198.7766388,195.8116123,192.7864126,189.7017646
Heat Demand,CS1,GR,na,RES,na,space heating,Eurostat,TWh,23.50609091,23.42209556,23.327183,23.22164818,23.10673797,22.98345319,22.85274683,22.72167058,22.59218443,22.46530556,22.34035058,22.21822288,22.09687537,21.97770887,21.85790101,21.73721896,21.61296948,21.48182337,21.3424024,21.19414307,21.03787009,20.87177109,20.69364934,20.50126209,20.29507913,20.07397587,19.83674677,19.58439213,19.3163047,19.03236817,18.73219586
Heat Demand,CS1,HU,na,RES,na,space heating,Eurostat,TWh,40.52123468,40.59637725,40.6546508,40.69448115,40.71875365,40.72797727,40.72332089,40.71215136,40.69344957,40.67292705,40.64605936,40.61505684,40.57686245,40.53152792,40.47854849,40.41611581,40.34061421,40.2467305,40.13428422,40.00322185,39.86216655,39.70412738,39.51841723,39.30476034,39.06223997,38.79036436,38.48717664,38.15745221,37.80017281,37.41575259,37.00561953
Heat Demand,CS1,IT,na,RES,na,space heating,Eurostat,TWh,183.5361904,182.3740496,181.1956284,179.9815639,178.7281387,177.4474807,176.1263365,174.8031363,173.4964254,172.214689,170.9627762,169.7294741,168.5235868,167.2993414,166.0602481,164.8066022,163.5185493,162.2292879,160.920427,159.5922001,158.2466663,156.87086,155.380808,153.7737803,152.0472447,150.1922975,148.2087838,146.1704475,144.0798698,141.9328053,139.7323883
Heat Demand,CS1,LU,na,RES,na,space heating,Eurostat,TWh,3.725719025,3.726933782,3.729102961,3.730863745,3.730468624,3.726882111,3.719744881,3.71039021,3.699744772,3.688567653,3.67728377,3.666214629,3.655319895,3.643603671,3.630868612,3.616977594,3.601683893,3.585680732,3.568629117,3.550682144,3.531743365,3.511870967,3.489205568,3.463826975,3.435683315,3.404719346,3.370881936,3.335816953,3.299429538,3.26168989,3.222489014
Heat Demand,CS1,NL,na,RES,na,space heating,Eurostat,TWh,61.50446781,61.32399503,61.13674841,60.9336836,60.71306449,60.4748093,60.21353713,59.94201174,59.66504157,59.38288598,59.09157936,58.7936708,58.48798552,58.15911655,57.81022157,57.44267922,57.04792958,56.63375604,56.1976065,55.74198157,55.26823954,54.77737679,54.24217254,53.66354788,53.04158458,52.37629253,51.66781632,50.94271516,50.20203329,49.44674183,48.67764241
Heat Demand,CS1,NO,na,RES,na,space heating,Eurostat,TWh,24.40750516,24.37128638,24.33332604,24.28966568,24.23896396,24.18040705,24.11176778,24.03697539,23.95854722,23.87613879,23.78929258,23.69915949,23.60614575,23.50481019,23.3953679,23.27768528,23.15058999,23.01805398,22.87862729,22.73295221,22.58137738,22.42405444,22.2496302,22.05799039,21.84882089,21.62163341,21.37609235,21.12283141,20.8619523,20.59345224,20.31743767
Heat Demand,CS1,PL,na,RES,na,space heating,Eurostat,TWh,114.6352833,115.2201037,115.7794326,116.2555234,116.6252796,116.9317207,117.1950777,117.4243627,117.5958798,117.7424414,117.8805007,118.0025187,118.0741356,118.0991957,118.1024826,118.0880853,118.0315567,117.9095909,117.7310796,117.5012303,117.2106663,116.8501669,116.4093025,115.8855867,115.2754056,114.5749805,113.779452,112.8989801,111.9441984,110.9116764,109.790856
Heat Demand,CS1,PT,na,RES,na,space heating,Eurostat,TWh,5.045404141,5.005161834,4.964966625,4.924333638,4.88286841,4.840823487,4.797863114,4.755025692,4.712990847,4.67179911,4.631207627,4.591051089,4.551522828,4.511842409,4.47175257,4.431189657,4.389906524,4.348568443,4.306632327,4.264040195,4.220976222,4.177309531,4.130751263,4.081122621,4.028024643,3.971683218,3.91223566,3.8513926,3.789362289,3.725975623,3.661470514
Heat Demand,CS1,RO,na,RES,na,space heating,Eurostat,TWh,26.76676841,26.69719458,26.61695922,26.52622476,26.42459096,26.31376563,26.19414047,26.07518822,25.95990706,25.84857182,25.73971842,25.63669199,25.5356897,25.46033426,25.38666665,25.31355468,25.23757939,25.15177792,25.05796176,24.95328667,24.84135446,24.71855858,24.58311958,24.43314118,24.26699543,24.08460829,23.88655837,23.67330322,23.44378265,23.19896727,22.94327583
Heat Demand,CS1,SE,na,RES,na,space heating,Eurostat,TWh,43.47089348,43.41943532,43.35963259,43.2839009,43.18978878,43.07579507,42.9382008,42.78472391,42.620604,42.4463582,42.26234008,42.07174794,41.87654316,41.66811785,41.44761347,41.21561383,40.97049393,40.71945296,40.46019033,40.19377329,39.92071847,39.64141257,39.33544927,39.00256197,38.64172678,38.25184309,37.83157035,37.39917352,36.95399035,36.49539719,36.02281701
Heat Demand,CS1,SI,na,RES,na,space heating,Eurostat,TWh,6.178596685,6.20688149,6.231665892,6.252353677,6.268972892,6.282388134,6.292297408,6.301117619,6.308911308,6.316323365,6.322945476,6.329478101,6.335139489,6.339279935,6.342154837,6.343845541,6.343721794,6.341399597,6.336419235,6.32852251,6.317430126,6.303138014,6.284665994,6.261326715,6.23317703,6.19974776,6.160744301,6.116454214,6.066657515,6.0113624,5.950609155
Heat Demand,CS1,SK,na,RES,na,space heating,Eurostat,TWh,12.32406776,12.37295211,12.41825834,12.45845946,12.49320425,12.52205692,12.54657481,12.56894538,12.59115417,12.6139715,12.63655083,12.65850629,12.67920427,12.69809203,12.71607278,12.73430761,12.75087161,12.7643597,12.77168686,12.77283258,12.76782602,12.75517397,12.73395313,12.70330812,12.6631849,12.61311874,12.55148118,12.48022913,12.39925486,12.308049,12.20646751
Heat Demand,CS2,AT,na,TER,Buildings,space heating,Eurostat,TWh,12.84872534,13.21600194,13.08687905,12.96086518,12.8402813,12.72567337,12.60473016,12.49213611,12.3775267,12.24719283,12.1216862,11.9967012,11.87217399,11.75037509,11.63126244,11.50520562,11.37016122,11.23657298,11.09346958,10.94023414,10.77890947,10.61347332,10.44341297,10.27083087,10.09650058,9.919774219,9.740441186,9.559552339,9.376987843,9.191773231,9.004993225
Heat Demand,CS2,BE,na,TER,Buildings,space heating,Eurostat,TWh,22.17833794,23.08020805,23.14020156,23.08846974,22.92956173,22.66643327,22.40743394,22.15045939,21.89336571,21.63850889,21.39143425,21.14944284,20.91793544,20.69240676,20.46842345,20.23776175,19.98595826,19.7328752,19.46063857,19.17547266,18.88019437,18.57573231,18.26127883,17.94152205,17.6187466,17.29187894,16.9610968,16.62832789,16.29231519,15.95321464,15.6114293
Heat Demand,CS2,BG,na,TER,Buildings,space heating,Eurostat,TWh,3.341553903,3.415187864,3.424438737,3.422721873,3.410660308,3.388515758,3.37047504,3.352157353,3.345792997,3.340725152,3.335024741,3.324336843,3.309216963,3.292120497,3.274107649,3.255980081,3.23619018,3.216099377,3.189826275,3.157175701,3.120052113,3.079245306,3.036725465,2.993389436,2.949460329,2.90471885,2.858994073,2.812552722,2.765437025,2.717826668,2.669412914
Heat Demand,CS2,CH,na,TER,Buildings,space heating,Eurostat,TWh,14.00852817,14.31256485,14.17377276,14.02978506,13.88337153,13.73537089,13.59654098,13.45914357,13.32719131,13.19901217,13.08336411,12.96293174,12.84519169,12.73796489,12.64027304,12.53443339,12.41736923,12.30259773,12.17144887,12.02969236,11.87974068,11.71529746,11.54603423,11.37366384,11.1988116,11.02086301,10.83940957,10.65580265,10.46986543,10.28180906,10.09235644
Heat Demand,CS2,CZ,na,TER,Buildings,space heating,Eurostat,TWh,17.04670124,17.73642683,17.78677183,17.7910328,17.75238996,17.67197413,17.56679666,17.44999037,17.29908316,17.16332815,17.03462948,16.91626241,16.81212118,16.714375,16.6179984,16.50661423,16.36788318,16.21762165,16.03269969,15.81286649,15.57060094,15.31858195,15.06036166,14.79974237,14.53691706,14.27098042,14.00177746,13.73067733,13.45699805,13.18086,12.90266263
